Year,N,Y
1998,184,13
1998,138,9
1998,73,7
1998,162,13
1998,55,3
1998,187,13
1998,174,24
1998,80,5
1998,98,10
1998,98,4
1998,103,8
1998,118,6
1998,67,4
1998,106,15
1998,165,29
1998,66,5
1998,61,4
1998,100,5
1998,209,22
1998,124,11
1998,118,6
1998,139,18
1998,88,11
1998,69,4
1998,85,11
1998,139,14
1998,74,4
1998,113,14
1998,112,15
1998,66,4
1998,126,16
1998,115,14
1998,134,12
1998,111,8
1998,64,5
1998,51,6
1998,93,3
1998,109,11
1998,87,3
1998,77,4
1998,88,20
1998,45,3
1998,93,4
1998,46,1
1998,58,10
1998,36,4
1998,73,14
1998,29,8
1998,110,7
1998,48,7
1998,82,3
1998,33,4
1998,118,9
1998,108,7
1998,89,4
1998,40,5
1998,115,8
1998,56,7
1998,125,8
1998,57,10
1998,159,14
1998,126,5
1998,102,3
1998,32,8
1998,73,4
1998,68,3
1998,101,6
1998,150,11
1998,65,18
1998,124,8
1998,120,6
1998,71,8
1998,50,9
1998,73,5
1998,67,16
1998,38,4
1998,87,3
1998,76,6
1998,51,8
1998,47,7
1998,86,4
1998,98,5
1998,59,6
1998,85,5
1998,122,7
1998,66,8
1998,42,3
1998,108,5
1998,80,11
1998,158,18
1998,63,10
1998,84,5
1998,195,26
1998,111,7
1998,122,8
1998,107,8
1998,46,4
1998,96,7
1998,133,7
1998,144,14
1998,108,5
2000,183,14
2000,139,9
2000,86,7
2000,190,21
2000,60,4
2000,170,13
2000,140,16
2000,83,5
2000,98,14
2000,88,8
2000,92,8
2000,126,6
2000,89,5
2000,111,12
2000,154,25
2000,66,7
2000,65,9
2000,112,10
2000,226,21
2000,114,16
2000,98,3
2000,139,16
2000,92,9
2000,74,4
2000,79,11
2000,134,18
2000,71,4
2000,121,13
2000,92,8
2000,75,8
2000,102,10
2000,100,14
2000,143,8
2000,91,7
2000,47,5
2000,73,9
2000,88,3
2000,125,6
2000,77,3
2000,88,3
2000,77,16
2000,53,2
2000,72,4
2000,32,2
2000,48,7
2000,43,10
2000,68,14
2000,33,4
2000,70,6
2000,49,11
2000,68,7
2000,55,8
2000,90,10
2000,122,11
2000,116,8
2000,38,5
2000,109,11
2000,65,7
2000,112,4
2000,59,12
2000,110,10
2000,127,7
2000,81,4
2000,32,7
2000,77,4
2000,65,5
2000,90,7
2000,131,7
2000,52,8
2000,122,8
2000,114,7
2000,53,8
2000,60,8
2000,67,6
2000,72,9
2000,45,6
2000,63,2
2000,86,6
2000,49,5
2000,56,9
2000,89,5
2000,107,7
2000,74,7
2000,90,5
2000,127,8
2000,66,2
2000,62,5
2000,109,5
2000,85,9
2000,157,14
2000,62,8
2000,75,4
2000,186,15
2000,114,6
2000,110,10
2000,82,6
2000,52,5
2000,100,10
2000,116,10
2000,148,11
2000,116,5
2002,158,11
2002,122,4
2002,88,10
2002,158,12
2002,59,5
2002,143,11
2002,137,12
2002,68,1
2002,92,3
2002,88,7
2002,102,6
2002,135,6
2002,107,9
2002,111,13
2002,147,12
2002,75,4
2002,69,8
2002,94,11
2002,215,18
2002,84,8
2002,107,12
2002,148,9
2002,91,14
2002,62,2
2002,88,10
2002,157,20
2002,52,4
2002,111,11
2002,113,15
2002,68,7
2002,88,9
2002,115,19
2002,132,6
2002,100,6
2002,44,3
2002,72,5
2002,80,2
2002,108,7
2002,90,4
2002,67,8
2002,70,17
2002,58,10
2002,64,2
2002,45,5
2002,56,6
2002,29,6
2002,52,8
2002,34,4
2002,101,7
2002,51,10
2002,66,5
2002,47,7
2002,89,7
2002,122,6
2002,83,5
2002,41,5
2002,112,16
2002,71,8
2002,97,7
2002,54,9
2002,126,12
2002,126,8
2002,85,8
2002,26,4
2002,63,5
2002,55,3
2002,95,13
2002,161,9
2002,64,17
2002,99,5
2002,98,5
2002,72,10
2002,65,9
2002,55,4
2002,61,10
2002,61,4
2002,63,3
2002,79,6
2002,32,1
2002,46,5
2002,80,5
2002,84,5
2002,74,11
2002,75,6
2002,114,13
2002,64,7
2002,67,7
2002,102,9
2002,75,10
2002,149,11
2002,73,10
2002,99,3
